Day Count,Date,Alberta Health Services Zone,Case Count,Death Count
1,3/6/2020,Calgary Zone,1,0
1,3/6/2020,Central Zone,0,0
1,3/6/2020,Edmonton Zone,0,0
1,3/6/2020,North Zone,0,0
1,3/6/2020,South Zone,0,0
1,3/6/2020,Unknown,0,0
2,3/7/2020,Calgary Zone,1,0
2,3/7/2020,Central Zone,0,0
2,3/7/2020,Edmonton Zone,0,0
2,3/7/2020,North Zone,0,0
2,3/7/2020,South Zone,0,0
2,3/7/2020,Unknown,0,0
3,3/8/2020,Calgary Zone,1,0
3,3/8/2020,Central Zone,0,0
3,3/8/2020,Edmonton Zone,0,0
3,3/8/2020,North Zone,0,0
3,3/8/2020,South Zone,0,0
3,3/8/2020,Unknown,0,0
4,3/9/2020,Calgary Zone,4,0
4,3/9/2020,Central Zone,0,0
4,3/9/2020,Edmonton Zone,3,0
4,3/9/2020,North Zone,0,0
4,3/9/2020,South Zone,0,0
4,3/9/2020,Unknown,0,0
5,3/10/2020,Calgary Zone,10,0
5,3/10/2020,Central Zone,0,0
5,3/10/2020,Edmonton Zone,6,0
5,3/10/2020,North Zone,0,0
5,3/10/2020,South Zone,0,0
5,3/10/2020,Unknown,0,0
6,3/11/2020,Calgary Zone,16,0
6,3/11/2020,Central Zone,1,0
6,3/11/2020,Edmonton Zone,7,0
6,3/11/2020,North Zone,0,0
6,3/11/2020,South Zone,0,0
6,3/11/2020,Unknown,0,0
7,3/12/2020,Calgary Zone,18,0
7,3/12/2020,Central Zone,1,0
7,3/12/2020,Edmonton Zone,7,0
7,3/12/2020,North Zone,0,0
7,3/12/2020,South Zone,0,0
7,3/12/2020,Unknown,0,0
8,3/13/2020,Calgary Zone,25,0
8,3/13/2020,Central Zone,1,0
8,3/13/2020,Edmonton Zone,8,0
8,3/13/2020,North Zone,0,0
8,3/13/2020,South Zone,0,0
8,3/13/2020,Unknown,0,0
9,3/14/2020,Calgary Zone,38,0
9,3/14/2020,Central Zone,1,0
9,3/14/2020,Edmonton Zone,13,1
9,3/14/2020,North Zone,0,0
